from,to,street_name
1590353180,1590353167,-
1590353167,1590353148,-
1590352978,1590352971,-
1590352971,10172992128,-
10172992128,1590352996,-
1590352996,1590352997,-
1590352997,1259330628,-
1259330628,1259331058,-
1590353086,1590353092,-
1590353092,1590353095,-
1590353095,1590353106,-
1590353106,1590353109,-
1590353109,1590353114,-
1590353114,1590353116,-
1590353198,8011637012,-
8011637012,1590353185,-
1590353185,1590353153,-
1590353153,1590353140,-
1590353140,1590353129,-
1590353129,1590353123,-
1590353123,1590353120,-
1590353120,8258135280,-
8258135280,1590353104,-
1590353014,10172992134,-
10172992134,1590353002,-
1590353002,1590352963,-
1590352963,1590352951,-
1590352951,1590352949,-
1590352949,10172992135,-
10172992135,1590352958,-
1590371059,1590371060,-
1590371060,1590371069,-
1590371069,1590371109,-
1590371109,1590371159,-
1590371159,1590371195,-
1590371195,1590371200,-
1590371200,1590371234,-
1590371234,1590371263,-
1590371263,1590371384,-
1590371200,1590371214,-
1590371214,1590371217,-
1590371217,1590371265,-
1590371265,1590371281,-
1590371281,1590371304,-
1590371304,1590371318,-
1590371318,1590371332,-
1590371332,1590371331,-
1590371331,1590371305,-
1590371305,1590371287,-
1590371287,1590371253,-
1590371253,1590371209,-
1590371602,1590371625,-
1590371625,1590371633,-
1590371732,1590371719,-
1590371159,1590371198,-
1590371198,1590371217,-
1590371069,1590371095,-
1590371095,1590371260,-
1590371060,1590371052,-
1590371052,1590371040,-
1590371040,1590371037,-
1590371037,1590371054,-
1593781421,1593781416,-
1593781410,8122771709,-
8122771709,1593781421,-
1593781421,1593781508,-
330935027,1590315154,улица Щетинкина
1590315154,1589761847,улица Щетинкина
1589761847,1589761969,улица Щетинкина
4049536012,10099741839,-
10099741839,10172670116,-
10172670116,4049536013,-
8166861792,10170849081,-
10170849081,8166861793,-
8166861793,4049536022,-
4049502239,4049502240,-
4049502240,4049502241,-
10172990049,10172990048,-
10172990048,10172990047,-
10172990047,10172990046,-
10172990046,10172990045,-
10172990045,4049542303,-
4049542303,4049542304,-
4049542304,4049542305,-
4049542305,10172990050,-
10172990050,10172990051,-
10172990051,10172990052,-
10172990052,10172990053,-
4049542299,4049542307,-
4049542307,10172990044,-
10172990044,4049542301,-
4049542299,10172990043,-
10172990043,4049542309,-
4049542309,4049542310,-
4049542310,4049542311,-
4049542311,4049542307,-
4049542309,4049542312,-
4049542312,4049542313,-
4049542314,4049542315,-
4049542315,10172990041,-
10172990041,4049542316,-
4049542316,4049542317,-
1590075156,4206176111,-
4206176111,4206176112,-
1590075605,1589919790,улица Пушкина
1589919790,8944712607,улица Пушкина
8944712607,330779130,улица Пушкина
330779101,330779066,улица Тараса Шевченко
1590006842,1590353039,Хакасская улица
1590353039,1590006843,Хакасская улица
1590006843,1590371602,Хакасская улица
1590371602,1590353050,Хакасская улица
1590353050,1590353051,Хакасская улица
1590353051,1590353053,Хакасская улица
1590353053,1590006844,Хакасская улица
1590006844,1590006845,Хакасская улица
1590371633,1590371655,-
1590371655,1590371674,-
1590371674,1590371696,-
1590371696,1590371705,-
1590371705,1590371711,-
1590371711,1590371719,-
1590371719,1590371763,-
1590371763,1590371770,-
1590371770,1590371732,-
1590371633,1590353049,-
1588404957,330948906,улица Чкалова
330695834,1588406472,улица Пушкина
1588406472,8118434495,улица Пушкина
8118434495,8082956390,улица Пушкина
8082956390,1590075605,улица Пушкина
1590352990,1590352965,-
1590352965,1590352935,-
1590352935,1590352884,-
1590352884,1590352882,-
1590352978,6311059504,-
6311059504,1590352990,-
1588592722,5877966964,-
5877966964,5877966965,-
1588404865,5877980926,-
5877980926,5877980927,-
5877980927,5877980928,-
5877980928,1588409092,-
5877980929,5877980930,-
5877980930,8082982565,-
8082982565,5877980931,-
5877980930,1588409099,-
1588468321,8012186710,-
8012186710,5877980930,-
1590075602,1588404862,улица Пушкина
1588404862,8118434498,улица Пушкина
8118434498,8082956387,улица Пушкина
8082956387,330695834,улица Пушкина
1590353050,5899016360,-
5899016360,5899016361,-
5899016361,5899016362,-
1589919793,8474365355,-
8474365355,5899016363,-
5899016363,8474365345,-
8474365345,8474365342,-
8474365342,5899016364,-
5899016364,1590371198,-
5899033489,5899033490,-
1590075330,10074634295,-
10074634295,5899058905,-
5899058905,5899058906,-
5899058906,5899058907,-
5899058907,5899058908,-
5899058908,8082985509,-
8082985509,5899058905,-
5899058908,5899058909,-
5899058909,8082953886,-
8082953886,5899058910,-
5899058910,1516236925,улица Пушкина
1516236925,8105326975,улица Пушкина
8105326975,989835731,улица Пушкина
989835731,8105326978,улица Пушкина
8105326978,1590075568,улица Пушкина
1590075568,1590075590,улица Пушкина
1590075590,8118434501,улица Пушкина
8118434501,1590075599,улица Пушкина
1590075599,8082990620,улица Пушкина
8082990620,1590075602,улица Пушкина
