,Unnamed: 0,Город,Федеральный округ,Население,Широта,Долгота,Часовой пояс,admin_levels
77,77,Новороссийск,Южный,241788.0,44.7234264,37.7687218,UTC+3,"[6.0, 9.0]"
78,78,Дзержинск,Приволжский,240762.0,56.2376438,43.4599363,UTC+3,[6.0]
79,79,Шахты,Южный,240152.0,47.7084247,40.2159154,UTC+3,[6.0]
80,80,Нальчик,Северо-Кавказский,240095.0,43.4846312,43.6070316,UTC+3,"[6.0, 10.0]"
81,81,Орск,Приволжский,238006.0,51.2293069,58.4751889,UTC+5,"[6.0, 9.0]"
82,82,Сыктывкар,Северо-Западный,235006.0,61.668789,50.8356491,UTC+3,"[6.0, 9.0]"
83,83,Нижнекамск,Приволжский,234108.0,55.6311963,51.814407,UTC+3,[8.0]
84,84,Ангарск,Сибирский,233765.0,52.5448102,103.8885385,UTC+8,[6.0]
85,85,Старый Оскол,Центральный,221163.0,51.2965991,37.8349849,UTC+3,[6.0]
86,86,Великий Новгород,Северо-Западный,218724.0,58.5214003,31.2755051,UTC+3,[6.0]
87,87,Балашиха,Центральный,215353.0,55.7963352,37.9381413,UTC+3,[6.0]
88,88,Благовещенск,Дальневосточный,214397.0,50.2905935,127.5272186,UTC+9,[6.0]
89,89,Прокопьевск,Сибирский,210150.0,53.8604562,86.7183428,UTC+7,"[6.0, 9.0]"
90,90,Химки,Центральный,207125.0,55.8886705,37.4304154,UTC+3,[6.0]
91,91,Псков,Северо-Западный,203974.0,57.819284,28.3318188,UTC+3,[6.0]
92,92,Бийск,Сибирский,203826.0,52.5393683,85.2138852,UTC+7,[6.0]
93,93,Энгельс,Приволжский,202838.0,51.4854893,46.1267479,UTC+4,[8.0]
94,94,Рыбинск,Центральный,200771.0,58.0483802,38.858338,UTC+3,"[6.0, 10.0]"
95,95,Балаково,Приволжский,199576.0,52.0222694,47.7828146,UTC+4,[8.0]
96,96,Северодвинск,Северо-Западный,192265.0,64.56253,39.8182715,UTC+3,[6.0]
97,97,Армавир,Южный,188897.0,45.0010338,41.132392,UTC+3,[6.0]
98,98,Подольск,Центральный,187956.0,55.4389588,37.57027,UTC+3,[6.0]
99,99,Южно-Сахалинск,Дальневосточный,181727.0,46.959133,142.7381252,UTC+11,[6.0]
100,100,Петропавловск-Камчатский,Дальневосточный,179526.0,53.0370213,158.6559142,UTC+12,"[6.0, 10.0]"
101,101,Сызрань,Приволжский,178773.0,53.1557213,48.4745419,UTC+4,[6.0]
102,102,Норильск,Сибирский,175301.0,69.3490828,88.2009965,UTC+7,"[6.0, 9.0]"
103,103,Златоуст,Уральский,174985.0,55.1715695,59.6726264,UTC+5,[6.0]
104,104,Каменск-Уральский,Уральский,174710.0,56.4149095,61.9189837,UTC+5,"[6.0, 9.0]"
105,105,Мытищи,Центральный,173341.0,55.9104647,37.7363702,UTC+3,[6.0]
106,106,Люберцы,Центральный,171978.0,55.700416,37.9606496,UTC+3,[6.0]
107,107,Волгодонск,Южный,170621.0,47.5165181,42.1984531,UTC+3,[6.0]
108,108,Новочеркасск,Южный,169039.0,47.4119248,40.1042066,UTC+3,[6.0]
109,109,Абакан,Сибирский,165183.0,53.7223661,91.4437792,UTC+7,[6.0]
110,110,Уссурийск,Дальневосточный,157946.0,43.79726,131.9517262,UTC+10,[6.0]
111,111,Березники,Приволжский,156350.0,59.4079898,56.8040725,UTC+5,"[6.0, 10.0]"
112,112,Салават,Приволжский,156085.0,53.3616311,55.9245559,UTC+5,[6.0]
113,113,Электросталь,Центральный,155324.0,55.7847718,38.4446531,UTC+3,[6.0]
114,114,Миасс,Уральский,151812.0,55.0455774,60.1077757,UTC+5,"[6.0, 9.0]"
115,115,Первоуральск,Уральский,149800.0,56.9081665,59.9429205,UTC+5,[6.0]
116,116,Рубцовск,Сибирский,146386.0,51.5013075,81.2077729,UTC+7,[6.0]
117,117,Альметьевск,Приволжский,146309.0,54.9013662,52.2970654,UTC+3,[8.0]
118,118,Ковров,Центральный,145492.0,56.3553895,41.3169568,UTC+3,[6.0]
119,119,Коломна,Центральный,144642.0,55.1027797,38.7531734,UTC+3,[6.0]
120,120,Керчь,Южный,144600.0,45.3561128,36.4674285,UTC+3,[6.0]
121,121,Майкоп,Южный,144055.0,44.6098268,40.1006527,UTC+3,[6.0]
122,122,Пятигорск,Северо-Кавказский,142397.0,44.0411669,43.0661091,UTC+3,[6.0]
123,123,Копейск,Уральский,137604.0,55.1167545,61.6180809,UTC+5,[6.0]
124,124,Хасавюрт,Северо-Кавказский,133929.0,43.2505191,46.5852276,UTC+3,[6.0]
125,125,Новомосковск,Центральный,131227.0,54.0109754,38.2915652,UTC+3,"[6.0, 10.0]"
126,126,Кисловодск,Северо-Кавказский,128502.0,43.905235,42.7167187,UTC+3,[6.0]
127,127,Серпухов,Центральный,126496.0,54.9225396,37.4032682,UTC+3,[6.0]
128,128,Новочебоксарск,Приволжский,124094.0,56.109486,47.4791429,UTC+3,[6.0]
129,129,Нефтеюганск,Уральский,123276.0,61.0882837,72.6164185,UTC+5,[6.0]
130,130,Димитровград,Приволжский,122549.0,54.2168446,49.6261645,UTC+4,[6.0]
131,131,Нефтекамск,Приволжский,121757.0,56.0883075,54.2483391,UTC+5,[6.0]
132,132,Черкесск,Северо-Кавказский,121439.0,44.2268637,42.0467829,UTC+3,[6.0]
133,133,Дербент,Северо-Кавказский,119961.0,42.058935,48.2908653,UTC+3,[6.0]
134,134,Камышин,Южный,119924.0,50.0651261,45.3843816,UTC+3,[6.0]
135,135,Невинномысск,Северо-Кавказский,118351.0,44.6227404,41.9476147,UTC+3,[6.0]
136,136,Красногорск,Центральный,116738.0,55.8318475,37.32942,UTC+3,[6.0]
137,137,Муром,Центральный,116078.0,55.5632276,42.023006,UTC+3,[6.0]
138,138,Батайск,Южный,112400.0,47.138321,39.7508382,UTC+3,[6.0]
139,139,Новошахтинск,Южный,111087.0,47.7576522,39.9364709,UTC+3,[6.0]
140,140,Сергиев Посад,Центральный,110878.0,56.3063411,38.1502568,UTC+3,[6.0]
141,141,Ноябрьск,Уральский,110572.0,63.201846,75.4509665,UTC+5,[6.0]
142,142,Кызыл,Сибирский,109906.0,51.7191542,94.4377234,UTC+7,[6.0]
143,143,Октябрьский,Приволжский,109379.0,54.4815344,53.4656611,UTC+5,[6.0]
144,144,Ачинск,Сибирский,109156.0,56.2538662,90.47949,UTC+7,[6.0]
145,145,Новокуйбышевск,Приволжский,108449.0,53.0995303,49.9477662,UTC+4,[6.0]
146,146,Елец,Центральный,108404.0,52.6151738,38.5289121,UTC+3,[6.0]
147,147,Евпатория,Южный,106840.0,45.1904322,33.3667685,UTC+3,[6.0]
148,148,Арзамас,Приволжский,106367.0,55.3947544,43.8407855,UTC+3,[6.0]
149,149,Обнинск,Центральный,104798.0,55.0943892,36.6121785,UTC+3,[6.0]
150,150,Новый Уренгой,Уральский,104144.0,66.0840036,76.6810032,UTC+5,[6.0]
151,151,Каспийск,Северо-Кавказский,103914.0,42.8916599,47.6366674,UTC+3,[6.0]
152,152,Элиста,Южный,103728.0,46.3082947,44.2701417,UTC+3,[6.0]
153,153,Пушкино,Центральный,102840.0,56.0104548,37.8471438,UTC+3,[8.0]
154,154,Жуковский,Центральный,102729.0,55.5998408,38.1224185,UTC+3,[6.0]
155,155,Междуреченск,Сибирский,101995.0,53.6865695,88.0703888,UTC+7,[6.0]
156,156,Ленинск-Кузнецкий,Сибирский,101666.0,54.6674092,86.1796724,UTC+7,[6.0]
157,157,Сарапул,Приволжский,101390.0,56.4616117,53.8036967,UTC+4,[6.0]
158,158,Ессентуки,Северо-Кавказский,100969.0,44.044461,42.8589078,UTC+3,[6.0]
159,159,Воткинск,Приволжский,100034.0,57.0517641,53.9874635,UTC+4,[6.0]
160,160,Тобольск,Уральский,99698.0,58.2016828,68.2538392,UTC+5,[6.0]
161,161,Ухта,Северо-Западный,99642.0,63.5564779,53.7014202,UTC+3,[6.0]
162,162,Бердск,Сибирский,98809.0,54.7582375,83.1072212,UTC+7,[6.0]
163,163,Великие Луки,Северо-Западный,98778.0,56.3321847,30.550757,UTC+3,[6.0]
164,164,Мичуринск,Центральный,98758.0,52.891294,40.510475,UTC+3,[6.0]
165,165,Новотроицк,Приволжский,97914.0,51.1965071,58.3017455,UTC+5,[6.0]
166,166,Зеленодольск,Приволжский,97651.0,55.8466751,48.5010882,UTC+3,[8.0]
167,167,Соликамск,Приволжский,97239.0,59.6483518,56.7710358,UTC+5,"[6.0, 10.0]"
168,168,Домодедово,Центральный,96123.0,55.4363901,37.7666263,UTC+3,[6.0]
169,169,Магадан,Дальневосточный,95925.0,59.5681763,150.8085289,UTC+11,[6.0]
170,170,Глазов,Приволжский,95835.0,58.1359111,52.6634998,UTC+4,[6.0]
171,171,Каменск-Шахтинский,Южный,95306.0,48.3204412,40.268874,UTC+3,[6.0]
172,172,Железногорск,Центральный,95057.0,52.3378753,35.3516834,UTC+3,[6.0]
173,173,Канск,Сибирский,94230.0,56.2049776,95.7051246,UTC+7,[6.0]
174,174,Назрань,Северо-Кавказский,93357.0,43.2257977,44.764685,UTC+3,[6.0]
175,175,Саров,Приволжский,92073.0,54.9227002,43.3447792,UTC+3,[6.0]
176,176,Новоуральск,Уральский,91813.0,57.2471507,60.095701,UTC+5,[6.0]
177,177,Воскресенск,Центральный,91301.0,55.3071305,38.7026949,UTC+3,[6.0]
178,178,Долгопрудный,Центральный,90976.0,55.9384901,37.5100527,UTC+3,[6.0]
179,179,Бугульма,Приволжский,89144.0,54.5363428,52.7895286,UTC+3,[8.0]
180,180,Кузнецк,Приволжский,88886.0,53.1131686,46.6052497,UTC+3,[6.0]
181,181,Кинешма,Центральный,88113.0,57.4425441,42.1690039,UTC+3,[6.0]
182,182,Реутов,Центральный,87195.0,55.758236,37.8619443,UTC+3,[6.0]
183,183,Усть-Илимск,Сибирский,86591.0,57.9431325,102.7414683,UTC+8,[6.0]
184,184,Усолье-Сибирское,Сибирский,83364.0,52.7567192,103.6387694,UTC+8,[6.0]
185,185,Чайковский,Приволжский,82933.0,56.7780203,54.1478482,UTC+5,"[6.0, 10.0]"
186,186,Азов,Южный,82882.0,47.1120631,39.4232597,UTC+3,[6.0]
187,187,Бузулук,Приволжский,82816.0,52.7881434,52.2623757,UTC+5,[6.0]
188,188,Балашов,Приволжский,82222.0,51.5389502,43.1839828,UTC+4,[8.0]
189,189,Кирово-Чепецк,Приволжский,80920.0,58.5559921,50.0317608,UTC+3,[6.0]
190,190,Кропоткин,Южный,80743.0,45.4332464,40.5727852,UTC+3,[8.0]
191,191,Клин,Центральный,80584.0,56.3424886,36.7240912,UTC+3,[6.0]
192,192,Красноуфимск,Уральский,80457.0,56.6122864,57.7636958,UTC+5,[6.0]
193,193,Ханты-Мансийск,Уральский,79410.0,61.0024344,69.0183322,UTC+5,[6.0]
194,194,Троицк,Уральский,78637.0,54.0844132,61.5585503,UTC+5,[6.0]
195,195,Бор,Приволжский,78079.0,56.3565179,44.0644851,UTC+3,"[6.0, 9.0]"
196,196,Ялта,Южный,78040.0,44.4951948,34.166386,UTC+3,[6.0]
197,197,Шадринск,Уральский,77744.0,56.0870152,63.6298234,UTC+5,[6.0]
198,198,Анжеро-Судженск,Сибирский,76669.0,56.0787179,86.0202207,UTC+7,[6.0]
199,199,Биробиджан,Дальневосточный,75419.0,48.7945975,132.9217594,UTC+10,[6.0]
200,200,Лобня,Центральный,74350.0,56.0328745,37.4614671,UTC+3,[6.0]
201,201,Новоалтайск,Сибирский,73134.0,53.4120811,83.9311249,UTC+7,[6.0]
202,202,Чапаевск,Приволжский,72689.0,52.9289662,49.8674222,UTC+4,[6.0]
203,203,Георгиевск,Северо-Кавказский,72126.0,44.1486421,43.4739718,UTC+3,[6.0]
204,204,Черногорск,Сибирский,72117.0,53.8258425,91.3259669,UTC+7,[6.0]
205,205,Минусинск,Сибирский,71171.0,53.7105509,91.6871866,UTC+7,[6.0]
206,206,Михайловск,Северо-Кавказский,71018.0,45.1296297,42.028787,UTC+3,[8.0]
207,207,Елабуга,Приволжский,70750.0,55.7566727,52.0544438,UTC+3,[8.0]
208,208,Дубна,Центральный,70569.0,56.7417949,37.1757163,UTC+3,[6.0]
209,209,Воркута,Северо-Западный,70551.0,67.4973484,64.0611045,UTC+3,[6.0]
210,210,Егорьевск,Центральный,70133.0,55.3831326,39.0358236,UTC+3,[6.0]
211,211,Феодосия,Южный,69786.0,45.031878,35.3824772,UTC+3,"[6.0, 8.0, 10.0]"
